_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3185131,0054E00005000000,"100 BOUNDARY ST, PITTSBURGH, PA 15207",100, ,,BOUNDARY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,114,14th Ward - PITTSBURGH,11/4/2024,9/24/2024,1,19852,25,H,MULTI-PARCEL SALE,DE,DEED,40.428643,-79.949116,Greenfield
3185129,0036M00075000000,"1820 YOUNGER AVE, PITTSBURGH, PA 15216",1820, ,,YOUNGER,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,120,20th Ward - PITTSBURGH,5/10/2024,4/19/2024,80000,19665,377,14,TIME ON MARKET (INSUFF/EXCESS),GW,GENERAL WARRANTY,40.40829,-80.03478,Banksville
3185133,0011J00165000A00,"51 VAN BRAAM ST, PITTSBURGH, PA 15219",51, ,,VAN BRAAM,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,101,1st Ward  - PITTSBURGH,4/2/2024,2/29/2024,46000,19624,355,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.436931,-79.982537,Bluff
3185137,0214R00249000000,"405-407 CALIFORNIA AVE, PITTSBURGH, PA 15202",405,-407,,CALIFORNIA,AVE,,,PITTSBURGH,PA,15202,29,Northgate,802,Avalon  ,4/9/2024,4/5/2024,225000,19632,160,36,QUIT CLAIM,CO,CORRECTIVE DEED,40.470742,-80.036216,Marshall-Shadeland
3185143,0022R00167000000,"1100 SHEFFIELD ST, PITTSBURGH, PA 15233",1100, ,,SHEFFIELD,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,5/20/2024,4/30/2024,1,19673,482,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454244,-80.021242,Manchester
3185145,0119S00073000100,"5421 CARNEGIE ST, PITTSBURGH, PA 15201",5421, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,9/5/2024,6/17/2024,1,19791,277,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.482814,-79.94994,Upper Lawrenceville
3185149,0028A00119000000,"261 DUNSEITH ST, PITTSBURGH, PA 15213",261, ,,DUNSEITH,ST,,,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,9/12/2024,8/30/2024,250000,19798,315,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.442523,-79.965246,West Oakland
3185153,0023L00126000000,"0 FEDERAL ST, PITTSBURGH, PA 15212",0, ,,FEDERAL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,122,22nd Ward - PITTSBURGH,9/16/2024,8/28/2024,140000,19802,281,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.446884,-80.003812,North Shore
3185152,0052E00047050200,"540 N NEVILLE ST, UNIT 502, PITTSBURGH, PA 15213",540, ,N,NEVILLE,ST,UNIT,502,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,9/16/2024,9/11/2024,379000,19802,268,0,VALID SALE,DE,DEED,40.449031,-79.948671,North Oakland
3185162,0030A00179000000,"0 HARCUM WAY, PITTSBURGH, PA 15203",0, ,,HARCUM,WAY,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,10/2/2024,10/1/2024,1,19820,346,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.425814,-79.971156,South Side Flats
3185160,0021A00025000000,"0 SANFORD ST, PITTSBURGH, PA 15204",0, ,,SANFORD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,9/25/2024,9/20/2024,55000,19812,303,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.460103,-80.049434,Esplen
3185166,0173J00376000100,"7131 VASSAR ST, PITTSBURGH, PA 15206",7131, ,,VASSAR,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,10/18/2024,10/14/2024,26500,19836,175,0,VALID SALE,SW,SPECIAL WARRANTY,40.467322,-79.895726,Lincoln-Lemington-Belmar
3185172,0096K00124000000,"1509 WAREMAN AVE, PITTSBURGH, PA 15226",1509, ,,WAREMAN,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,10/30/2024,9/25/2024,302500,19847,312,0,VALID SALE,DE,DEED,40.38921,-80.01057,Brookline
3185169,0059N00095000000,"201 HORNADAY RD, PITTSBURGH, PA 15210",201, ,,HORNADAY,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,10/23/2024,9/17/2024,1,19841,48,3,LOVE AND AFFECTION SALE,DE,DEED,40.395263,-79.982785,Carrick
3185175,0041R00017000000,"1212 HOLLYWOOD ST, PITTSBURGH, PA 15205",1212, ,,HOLLYWOOD,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,10/31/2024,10/28/2024,138000,19848,550,0,VALID SALE,DE,DEED,40.44334,-80.05532,Crafton Heights
3185184,0119S00098000A00,"5417 DRESDEN WAY, PITTSBURGH, PA 15201",5417, ,,DRESDEN,WAY,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,1/10/2024,1/3/2024,1,19546,512,H,MULTI-PARCEL SALE,DE,DEED,40.48297,-79.95034,Upper Lawrenceville
3185192,0029S00104000000,"19 FORRESTER ST, PITTSBURGH, PA 15207",19, ,,FORRESTER,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,12/27/2024,12/12/2024,1,19908,287,H,MULTI-PARCEL SALE,DE,DEED,40.42415,-79.94974,Hazelwood
3185188,0001C01662A00500,"320 FORT DUQUESNE BLVD, UNIT 5A, PITTSBURGH, PA 15222",320, ,,FORT DUQUESNE,BLVD,UNIT,5A,PITTSBURGH,PA,15222,47,Pittsburgh,102,2nd Ward - PITTSBURGH,1/24/2024,1/8/2024,1,19557,405,3,LOVE AND AFFECTION SALE,DE,DEED,40.44261,-80.006874,Central Business District
3185196,0119S00069000B00,"5415 CARNEGIE ST, PITTSBURGH, PA 15201",5415, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,1/2/2025,12/27/2024,323500,19913,286,0,VALID SALE,SW,SPECIAL WARRANTY,40.482666,-79.950151,Upper Lawrenceville
3185200,0056L00369000000,"0 ELECTRIC ST, PITTSBURGH, PA 15207",0, ,,ELECTRIC,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,1/7/2025,12/31/2024,1,19916,61,H,MULTI-PARCEL SALE,DE,DEED,40.408507,-79.937729,Hazelwood
3185201,0024N00165000000,"820 E OHIO ST, PITTSBURGH, PA 15212",820, ,E,OHIO,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,1/7/2025,12/13/2024,8775000,19916,188,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454681,-79.996122,East Allegheny
3185210,0184P00126000000,"5713 KEEFE ST, PITTSBURGH, PA 15207",5713, ,,KEEFE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,9/16/2024,8/23/2024,1,19803,42,3,LOVE AND AFFECTION SALE,DE,DEED,40.366199,-79.91026,Lincoln Place
3185206,0079G00297000000,"226 MARYLAND AVE, PITTSBURGH, PA 15209",226, ,,MARYLAND,AVE,,,PITTSBURGH,PA,15209,34,Shaler Area,838,Millvale  ,9/18/2024,9/16/2024,1,19805,103,3,LOVE AND AFFECTION SALE,DE,DEED,40.41182,-79.991829,Knoxville
3185212,0048E00137000000,"2009 VERONICA ST, PITTSBURGH, PA 15212",2009, ,,VERONICA,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,9/20/2024,9/19/2024,179000,19807,236,0,VALID SALE,SW,SPECIAL WARRANTY,40.46858,-79.981245,Troy Hill
3185223,0056R00131000000,"5315 GERTRUDE ST, PITTSBURGH, PA 15207",5315, ,,GERTRUDE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,9/27/2024,9/25/2024,10000,19814,524,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.404235,-79.941054,Hazelwood
3185224,0090M00171000000,"4411 ARMORHILL AVE, HOMESTEAD, PA 15120",4411, ,,ARMORHILL,AVE,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,9/26/2024,9/12/2024,148000,19810,476,0,VALID SALE,DE,DEED,40.39694,-79.91946,New Homestead
