_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185128,0220B00015000000,"1308 ANDERSON RD, PITTSBURGH, PA 15209",1308, ,,ANDERSON,RD,,,PITTSBURGH,PA,15209,34,Shaler Area,944,Shaler  ,2024-05-06,2024-05-02,147000.0,19659,106.0,37,ESTATE SALE,DE,DEED,40.510815,-79.975114
3185129,0036M00075000000,"1820 YOUNGER AVE, PITTSBURGH, PA 15216",1820, ,,YOUNGER,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-10,2024-04-19,80000.0,19665,377.0,14,TIME ON MARKET (INSUFF/EXCESS),GW,GENERAL WARRANTY,40.40829,-80.03478
3185130,0381P00067000000,"2813 RIVERVIEW ST, MC KEESPORT, PA 15132",2813, ,,RIVERVIEW,ST,,,MC KEESPORT,PA,15132,23,McKeesport Area,407,7th Ward  - McKEESPORT,2024-06-06,2024-05-24,1.0,19694,217.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.33836,-79.84358
3185131,0054E00005000000,"100 BOUNDARY ST, PITTSBURGH, PA 15207",100, ,,BOUNDARY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-11-04,2024-09-24,1.0,19852,25.0,H,MULTI-PARCEL SALE,DE,DEED,40.428643,-79.949116
3185132,0826K00009000000,"583 CUMBERLAND RD, PITTSBURGH, PA 15237",583, ,,CUMBERLAND,RD,,,PITTSBURGH,PA,15237,27,North Allegheny,927,McCandless  ,2024-06-18,2024-06-12,1.0,19707,237.0,H,MULTI-PARCEL SALE,QC,QUIT CLAIM,40.57231,-80.02593
3185133,0011J00165000A00,"51 VAN BRAAM ST, PITTSBURGH, PA 15219",51, ,,VAN BRAAM,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,101,1st Ward  - PITTSBURGH,2024-04-02,2024-02-29,46000.0,19624,355.0,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.436931,-79.982537
3185134,0826K00054000000,"525 CUMBERLAND RD, PITTSBURGH, PA 15237",525, ,,CUMBERLAND,RD,,,PITTSBURGH,PA,15237,27,North Allegheny,927,McCandless  ,2024-06-18,2024-06-12,1.0,19707,242.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.57227,-80.02788
3185135,0482S00022000000,"740 WHEATLAND CIR, BRIDGEVILLE, PA 15017",740, ,,WHEATLAND,CIR,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-06-10,2024-05-29,134900.0,19697,139.0,0,VALID SALE,CO,CORRECTIVE DEED,40.327924,-80.13384
3185136,0970G00216000000,"0 OLD LEECHBURG RD, PITTSBURGH, PA 15239",0, ,,OLD LEECHBURG,RD,,,PITTSBURGH,PA,15239,31,Plum Boro,880,Plum  ,2024-02-16,2024-02-14,1.0,19578,8.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.489757,-79.776242
3185137,0214R00249000000,"405-407 CALIFORNIA AVE, PITTSBURGH, PA 15202",405, -407,,CALIFORNIA,AVE,,,PITTSBURGH,PA,15202,29,Northgate,802,Avalon  ,2024-04-09,2024-04-05,225000.0,19632,160.0,36,QUIT CLAIM,CO,CORRECTIVE DEED,40.470742,-80.036216
